year,state,demVotes,gopVotes,otherVotes,totalVotes,demShareTotal,gopShareTotal,demShareTwoParty,gopShareTwoParty,differenceTotal,differenceTwoParty
2004,CT,857488,693826,27455,1578769,0.543137089719902,0.4394727791082799,0.5527494756058412,0.44725052439415874,0.06068223602011019,0.0651412191184565
2008,CT,997772,629428,19592,1646792,0.6058882967612181,0.3822146330562694,0.6131833824975418,0.3868166175024582,0.07705817930498815,0.07629494539805881
2012,CT,905083,634892,18229,1558204,0.5808501325885442,0.4074511424691504,0.587725774769071,0.41227422523092905,0.07055385311751405,0.06814272252977949
2016,CT,897572,673215,74133,1644920,0.5456630109670987,0.40926914378814777,0.5714154751726364,0.4285845248273636,0.06423178597962964,0.06028310060672082
2020,CT,1080680,715291,28353,1824324,0.5923728460514689,0.39208550674112713,0.6017246380927086,0.3982753619072914,0.07918786143466383,0.0790174208731651
1976,DC,137818,27873,3139,168830,0.8163122667772316,0.16509506604276492,0.8317772238685264,0.16822277613147366,0.31600385273934517,0.3212730712073507
1980,DC,130231,23313,20345,173889,0.7489317898199426,0.134068284940393,0.8481673005783359,0.15183269942166414,0.338732486726238,0.4011897993481098
1984,DC,180408,29009,1871,211288,0.853848775131574,0.137296013024876,0.8614773394710076,0.1385226605289924,0.44838556905110727,0.4532310177006629
1988,DC,159407,27590,5880,192877,0.8264697190437429,0.1430445309705149,0.8524575260565678,0.14754247394343226,0.3699731214163003,0.3914729605166891
1992,DC,192619,20698,14255,227572,0.8464090485648498,0.09095143515019423,0.9029706961939273,0.09702930380607265,0.416634693398902,0.3681708031436678
1996,DC,158220,17339,10167,185726,0.8519001109160806,0.09335795742114728,0.9012354820886426,0.09876451791135743,0.36012723507145566,0.3538718562015506
2000,DC,171923,18073,11898,201894,0.8515508137933767,0.08951727143946824,0.9048769447777848,0.0951230552222152,0.3686060376412661,0.4022161210843167
2004,DC,202970,21256,3360,227586,0.8918386895503239,0.09339766066454,0.9052027864743607,0.09479721352563932,0.409383835850532,0.417594529986976
2008,DC,245800,17367,2686,265853,0.9245710975614343,0.06532557465968035,0.9340076833341566,0.06599231666584336,0.3957409801052043,0.39711924623467365
2012,DC,267070,21381,5313,293764,0.9091311392818725,0.07278291417600523,0.9258764920211752,0.07412350797882483,0.3988348598108423,0.4062934397818837
2016,DC,282830,12723,17022,312575,0.9048388386787171,0.04070383108054067,0.9569518834185409,0.04304811658145916,0.423407613691248,0.44581950885262533
2020,DC,317323,18586,8447,344356,0.9214969392140692,0.05397321376714795,0.9446695384761944,0.05533046152380555,0.4083119545972641,0.4219623212566509
1976,DE,122461,109780,3401,235642,0.5196908870235357,0.46587620203529084,0.527301380893124,0.47269861910687605,0.019382472985649324,0.01679722823194829
1980,DE,105754,111252,18662,235668,0.4487414498362103,0.47207087937267683,0.48733214749822584,0.5126678525017742,0.03854214674250572,0.04035464626799973
1984,DE,101656,152190,726,254572,0.3993212136448627,0.5978269409047342,0.40046327300804424,0.5995367269919557,-0.006141992435603982,-0.00778304876230046
1988,DE,108647,139639,1605,249891,0.4347775630174756,0.5587996366415757,0.4375881040413072,0.5624118959586928,-0.021719034609966992,-0.02339646149857144
1992,DE,126054,102313,61253,289620,0.43523927905531384,0.35326634900904635,0.5519799270472528,0.4480200729527471,0.005464923889366091,0.017180033996993305
1996,DE,140355,99062,31393,270810,0.518278497839814,0.3657988995975038,0.5862365663256995,0.41376343367430046,0.026505621995188966,0.03887294043860756
2000,DE,180068,137288,10173,327529,0.5497772716309091,0.4191628832866708,0.5674006478528845,0.43259935214711553,0.06683249547879844,0.06473982415941637
2004,DE,200152,171660,3378,375190,0.5334683760228152,0.4575281857192356,0.5383150624509161,0.46168493754908396,0.05101352232302331,0.05070680596353139
2008,DE,255459,152374,4579,412412,0.6194266898150393,0.36947033548975294,0.6263813864988855,0.3736186135011144,0.09059657235880936,0.08949294939940255
2012,DE,242584,165484,5822,413890,0.5861074198458528,0.39982604073546113,0.5944695491927816,0.4055304508072184,0.07581114037482262,0.07488649695349014
2016,DE,235603,185127,20860,441590,0.5335333680563419,0.41922824339319276,0.5599862144368122,0.4400137855631878,0.05210214306887284,0.04885383987089664
2020,DE,296268,200603,7139,504010,0.5878216702049562,0.39801392829507354,0.5962674416498447,0.40373255835015526,0.07463668558815117,0.07356022443030119
1976,FL,1636000,1469531,45100,3150631,0.5192610623078361,0.46642434483758966,0.526802018720792,0.473197981279208,0.01895264826994969,0.01629786605961636
1980,FL,1419475,2046951,220501,3686927,0.38500219830769633,0.5551916270650328,0.4094923705280309,0.5905076294719691,-0.02519710478600823,-0.037485130702195224
